Number of variables: n = 8
GF extension exponent: l = 2
Polynomials' degree: b = 2
Total number of polynomials in file: 11
Bent functions type: PS-
Number of polynomials needed for a single function: t = 8

Function: 65161E1C19AA6DA0C15C1A3A11E6CA70E11A361691CCB6C00EE4E0E2EE08FFFE nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: 65171E1D19AB6DA1C15D1A3B11E7CA71E11B361791CDB6C10EE5E0E3EE090000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_10(X) = X^2 + 3 
Function: A513560D29A97581C8551C3903A74B31C09B3643916592D10E4D20E7E80BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: 85175E0938A97521C945143B03E58B31E0932653912D94D10ACD60C76A0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: A5075A0D39A155A1C9510C3B03C7C331609B3651906D96910CCD6067AA0BFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: A5154E0D392971A189551C3302E7CB11E08B3453916916D106CD60A7CA0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: A4175E05398935A149551C2B03E3C931E0993253816D96510E8D40E7E20BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: A5165E0C39A875A0C9541C3A03E6CB30E09A3652916C96D00ECC60E6EA0AFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: A5175E0D39A975A1C9551C3B03E7CB31E09B3653916D96D10ECD60E7EA0B0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C513561928AB7D01C84D163913A50B71C193264791A5B0D10A6DA0C76C0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E503521D29A35D81C8590E3913874371419B364590E5B2910C6DA067AC0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E511461D292B7981885D1E3112A74B51C18B344791E132D1066DA0A7CC0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E4135615298B3D81485D1E2913A34971C199324781E5B2510E2D80E7E40BFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E512561C29AA7D80C85C1E3813A64B70C19A364691E4B2D00E6CA0E6EC0AFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E513561D29AB7D81C85D1E3913A74B71C19B364791E5B2D10E6DA0E7EC0B0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C5075A1938A35D21C949063B13C583716193265590ADB49108EDE0472E0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C5154E19382B7921894D163312E58B51E183245791A934D102EDE0874E0BFFFE nl: 120 deg: 4 2-Rank: 40 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C4175E11388B3D21494D162B13E18971E191225781ADB4510AADC0C7660BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C5165E1838AA7D20C94C163A13E48B70E192265691ACB4D00AECE0C66E0AFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: C5175E1938AB7D21C94D163B13E58B71E193265791ADB4D10AEDE0C76E0B0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5054A1D392359A189590E3312C7C351618B345590E9369104EDE0278E0BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E4075A1539831DA149590E2B13C3C1716199325580EDB6110CADC067A60BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5065A1C39A25DA0C9580E3A13C6C370619A365490ECB6900CECE066AE0AFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5075A1D39A35DA1C9590E3B13C7C371619B365590EDB6910CEDE067AE0B0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E4154E15390B39A1095D1E2312E3C951E189305781E9365106ADC0A7C60BFFFE nl: 120 deg: 4 2-Rank: 44 Polynomials list:	p_1(X) = 1 	p_2(X) = X^2  	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5144E1C392A79A0895C1E3212E6CB50E18A345691E836D006ECE0A6CE0AFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5154E1D392B79A1895D1E3312E7CB51E18B345791E936D106EDE0A7CE0B0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_3(X) = X^2 3X + 3 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E4165E14398A3DA0495C1E2A13E2C970E198325681ECB6500EACC0E6E60AFFFE nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_1(X) = 1 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E4175E15398B3DA1495D1E2B13E3C971E199325781EDB6510EADC0E7E60B0000 nl: 120 deg: 4 2-Rank: 46 Polynomials list:	p_2(X) = X^2  	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
Function: E5165E1C39AA7DA0C95C1E3A13E6CB70E19A365691ECB6D00EECE0E6EE0A0000 nl: 120 deg: 4 2-Rank: 42 Polynomials list:	p_3(X) = X^2 3X + 3 	p_4(X) = X^2 3X + 1 	p_5(X) = X^2 2X + 2 	p_6(X) = X^2 + X + 3 	p_7(X) = X^2 2X + 1 	p_8(X) = X^2 + X + 2 	p_9(X) = X^2 + 1 	p_10(X) = X^2 + 3 
